data	cotacao
28-06-2017	1.138
27-06-2017	1.134
26-06-2017	1.118
23-06-2017	1.119
22-06-2017	1.115
21-06-2017	1.117
20-06-2017	1.113
19-06-2017	1.115
16-06-2017	1.120
15-06-2017	1.115
14-06-2017	1.122
13-06-2017	1.122
12-06-2017	1.120
09-06-2017	1.120
08-06-2017	1.121
07-06-2017	1.126
06-06-2017	1.128
05-06-2017	1.125
02-06-2017	1.128
01-06-2017	1.121
31-05-2017	1.124
30-05-2017	1.119
29-05-2017	1.117
26-05-2017	1.118
25-05-2017	1.121
24-05-2017	1.122
23-05-2017	1.118
22-05-2017	1.124
19-05-2017	1.121
18-05-2017	1.110
17-05-2017	1.116
16-05-2017	1.108
15-05-2017	1.098
12-05-2017	1.093
11-05-2017	1.086
10-05-2017	1.087
09-05-2017	1.087
08-05-2017	1.092
05-05-2017	1.100
04-05-2017	1.099
03-05-2017	1.089
02-05-2017	1.093
01-05-2017	1.090
28-04-2017	1.090
27-04-2017	1.087
26-04-2017	1.090
25-04-2017	1.093
24-04-2017	1.087
21-04-2017	1.073
20-04-2017	1.072
19-04-2017	1.071
18-04-2017	1.073
17-04-2017	1.064
14-04-2017	1.061
13-04-2017	1.061
12-04-2017	1.067
11-04-2017	1.060
10-04-2017	1.060
07-04-2017	1.059
06-04-2017	1.064
05-04-2017	1.066
04-04-2017	1.067
03-04-2017	1.067
31-03-2017	1.065
30-03-2017	1.068
29-03-2017	1.077
28-03-2017	1.081
27-03-2017	1.087
24-03-2017	1.080
23-03-2017	1.078
22-03-2017	1.080
21-03-2017	1.081
20-03-2017	1.074
17-03-2017	1.074
16-03-2017	1.077
15-03-2017	1.074
14-03-2017	1.060
13-03-2017	1.065
10-03-2017	1.067
09-03-2017	1.058
08-03-2017	1.054
07-03-2017	1.057
06-03-2017	1.058
03-03-2017	1.062
02-03-2017	1.051
01-03-2017	1.055
28-02-2017	1.058
27-02-2017	1.059
24-02-2017	1.056
23-02-2017	1.058
22-02-2017	1.056
21-02-2017	1.054
20-02-2017	1.061
17-02-2017	1.061
16-02-2017	1.067
15-02-2017	1.060
14-02-2017	1.058
13-02-2017	1.060
10-02-2017	1.064
09-02-2017	1.066
08-02-2017	1.070
07-02-2017	1.068
06-02-2017	1.075
03-02-2017	1.078
02-02-2017	1.076
01-02-2017	1.077
31-01-2017	1.080
30-01-2017	1.070
27-01-2017	1.070
26-01-2017	1.068
25-01-2017	1.075
24-01-2017	1.073
23-01-2017	1.077
20-01-2017	1.070
19-01-2017	1.066
18-01-2017	1.063
17-01-2017	1.071
16-01-2017	1.060
13-01-2017	1.064
12-01-2017	1.061
11-01-2017	1.058
10-01-2017	1.055
09-01-2017	1.057
06-01-2017	1.053
05-01-2017	1.061
04-01-2017	1.049
03-01-2017	1.041
02-01-2017	1.046
30-12-2016	1.052
29-12-2016	1.049
28-12-2016	1.041
27-12-2016	1.046
26-12-2016	1.046
23-12-2016	1.046
22-12-2016	1.044
21-12-2016	1.043
20-12-2016	1.039
19-12-2016	1.040
16-12-2016	1.045
15-12-2016	1.041
14-12-2016	1.054
13-12-2016	1.063
12-12-2016	1.064
09-12-2016	1.056
08-12-2016	1.062
07-12-2016	1.075
06-12-2016	1.072
05-12-2016	1.076
02-12-2016	1.067
01-12-2016	1.066
30-11-2016	1.059
29-11-2016	1.065
28-11-2016	1.062
25-11-2016	1.059
24-11-2016	1.055
23-11-2016	1.056
22-11-2016	1.063
21-11-2016	1.063
18-11-2016	1.059
17-11-2016	1.063
16-11-2016	1.069
15-11-2016	1.072
14-11-2016	1.074
11-11-2016	1.086
10-11-2016	1.089
09-11-2016	1.091
08-11-2016	1.103
07-11-2016	1.104
04-11-2016	1.114
03-11-2016	1.111
02-11-2016	1.110
01-11-2016	1.106
31-10-2016	1.098
28-10-2016	1.099
27-10-2016	1.090
26-10-2016	1.091
25-10-2016	1.089
24-10-2016	1.088
21-10-2016	1.088
20-10-2016	1.093
19-10-2016	1.097
18-10-2016	1.098
17-10-2016	1.100
14-10-2016	1.097
13-10-2016	1.106
12-10-2016	1.101
11-10-2016	1.105
10-10-2016	1.114
07-10-2016	1.120
06-10-2016	1.115
05-10-2016	1.121
04-10-2016	1.120
03-10-2016	1.121
30-09-2016	1.124
29-09-2016	1.122
28-09-2016	1.122
27-09-2016	1.122
26-09-2016	1.125
23-09-2016	1.123
22-09-2016	1.121
21-09-2016	1.119
20-09-2016	1.116
19-09-2016	1.117
16-09-2016	1.116
15-09-2016	1.124
14-09-2016	1.125
13-09-2016	1.122
12-09-2016	1.123
09-09-2016	1.123
08-09-2016	1.126
07-09-2016	1.124
06-09-2016	1.126
05-09-2016	1.115
02-09-2016	1.116
01-09-2016	1.120
31-08-2016	1.116
30-08-2016	1.114
29-08-2016	1.119
26-08-2016	1.120
25-08-2016	1.128
24-08-2016	1.126
23-08-2016	1.131
22-08-2016	1.132
19-08-2016	1.133
18-08-2016	1.135
17-08-2016	1.129
16-08-2016	1.128
15-08-2016	1.118
12-08-2016	1.116
11-08-2016	1.114
10-08-2016	1.118
09-08-2016	1.112
08-08-2016	1.109
05-08-2016	1.109
04-08-2016	1.113
03-08-2016	1.115
02-08-2016	1.123
01-08-2016	1.116
29-07-2016	1.117
28-07-2016	1.108
27-07-2016	1.106
26-07-2016	1.099
25-07-2016	1.099
22-07-2016	1.098
21-07-2016	1.103
20-07-2016	1.102
19-07-2016	1.102
18-07-2016	1.107
15-07-2016	1.104
14-07-2016	1.112
13-07-2016	1.109
12-07-2016	1.106
11-07-2016	1.106
08-07-2016	1.105
07-07-2016	1.106
06-07-2016	1.110
05-07-2016	1.108
04-07-2016	1.116
01-07-2016	1.114
30-06-2016	1.111
29-06-2016	1.113
28-06-2016	1.107
27-06-2016	1.103
24-06-2016	1.112
23-06-2016	1.139
22-06-2016	1.130
21-06-2016	1.124
20-06-2016	1.131
17-06-2016	1.128
